iter	Passed	Remaining
0	173	173122
1	177	88613
2	181	60438
3	185	46277
4	189	37796
5	194	32273
6	201	28519
7	205	25468
8	208	22960
9	210	20871
10	213	19160
11	215	17733
12	217	16520
13	219	15485
14	222	14622
15	225	13847
16	227	13152
17	229	12531
18	231	11974
19	234	11475
20	235	10984
21	236	10535
22	238	10126
23	239	9751
24	241	9403
25	242	9083
26	243	8785
27	245	8510
28	246	8252
29	247	8011
30	249	7785
31	250	7569
32	251	7367
33	252	7176
34	253	6996
35	254	6827
36	256	6665
37	257	6513
38	258	6369
39	259	6233
40	260	6102
41	262	5984
42	263	5865
43	264	5751
44	265	5643
45	267	5539
46	268	5440
47	269	5345
48	270	5254
49	271	5166
50	273	5082
51	274	5002
52	275	4924
53	276	4852
54	278	4781
55	279	4711
56	280	4644
57	281	4579
58	283	4515
59	284	4453
60	285	4394
61	286	4337
62	287	4281
63	289	4227
64	290	4174
65	291	4123
66	292	4079
67	293	4024
68	294	3977
69	296	3932
70	297	3888
71	298	3845
72	299	3803
73	300	3763
74	301	3723
75	303	3685
76	304	3648
77	305	3611
78	306	3577
79	308	3542
80	309	3508
81	310	3474
82	311	3442
83	312	3410
84	313	3375
85	314	3345
86	315	3312
87	316	3283
88	318	3255
89	319	3227
90	321	3212
91	323	3195
92	325	3169
93	326	3144
94	327	3119
95	328	3096
96	330	3072
97	331	3048
98	332	3024
99	333	3001
100	334	2979
101	335	2952
102	336	2930
103	337	2908
104	338	2887
105	339	2866
106	341	2846
107	342	2826
108	343	2810
109	345	2791
110	346	2772
111	347	2754
112	348	2736
113	349	2717
114	350	2700
115	351	2681
116	353	2664
117	354	2647
118	355	2629
119	356	2613
120	357	2597
121	358	2581
122	359	2562
123	360	2547
124	361	2531
125	362	2517
126	364	2502
127	364	2485
128	366	2471
129	367	2457
130	368	2443
131	369	2429
132	370	2416
133	372	2404
134	373	2392
135	374	2379
136	375	2367
137	376	2353
138	377	2341
139	379	2329
140	380	2317
141	381	2305
142	382	2293
143	383	2282
144	385	2270
145	386	2259
146	387	2248
147	388	2237
148	389	2226
149	391	2216
150	392	2205
151	393	2195
152	394	2184
153	395	2174
154	396	2164
155	398	2154
156	399	2144
157	400	2134
158	401	2124
159	402	2115
160	404	2105
161	405	2096
162	406	2087
163	407	2077
164	408	2068
165	410	2059
166	411	2051
167	412	2042
168	413	2034
169	414	2025
170	416	2017
171	417	2008
172	418	2000
173	419	1991
174	420	1983
175	421	1975
176	423	1967
177	424	1959
178	425	1951
179	426	1943
180	427	1933
181	428	1925
182	429	1918
183	430	1910
184	432	1903
185	433	1895
186	434	1888
187	435	1881
188	436	1873
189	437	1866
190	438	1859
191	440	1852
192	441	1846
193	443	1842
194	444	1835
195	445	1829
196	447	1822
197	448	1815
198	449	1808
199	450	1802
200	451	1795
201	452	1789
202	454	1782
203	455	1776
204	456	1770
205	457	1763
206	458	1757
207	459	1751
208	461	1745
209	462	1739
210	463	1733
211	464	1727
212	465	1721
213	467	1715
214	468	1709
215	469	1704
216	470	1698
217	471	1692
218	473	1687
219	474	1681
220	475	1675
221	476	1669
222	477	1664
223	478	1658
224	479	1652
225	481	1647
226	482	1642
227	483	1636
228	484	1631
229	485	1626
230	486	1621
231	488	1615
232	489	1610
233	490	1605
234	491	1600
235	492	1595
236	493	1590
237	495	1585
238	496	1580
239	497	1575
240	498	1570
241	499	1565
242	501	1560
243	502	1556
244	503	1551
245	504	1546
246	505	1541
247	506	1537
248	508	1532
249	509	1527
250	510	1523
251	511	1518
252	512	1513
253	513	1509
254	515	1504
255	516	1500
256	517	1496
257	518	1491
258	519	1487
259	521	1482
260	522	1478
261	523	1474
262	524	1470
263	525	1465
264	526	1461
265	528	1457
266	529	1453
267	530	1448
268	531	1444
269	532	1440
270	533	1436
271	535	1432
272	536	1427
273	537	1423
274	538	1419
275	539	1415
276	540	1411
277	542	1407
278	543	1403
279	544	1400
280	545	1396
281	546	1392
282	547	1388
283	549	1384
284	550	1380
285	551	1376
286	552	1373
287	553	1369
288	555	1365
289	556	1361
290	557	1358
291	558	1354
292	559	1350
293	561	1347
294	562	1343
295	563	1339
296	564	1336
297	565	1332
298	567	1329
299	568	1327
300	570	1323
301	571	1320
302	572	1316
303	573	1313
304	574	1309
305	575	1306
306	577	1302
307	578	1298
308	579	1295
309	580	1291
310	581	1288
311	582	1285
312	583	1281
313	585	1278
314	586	1275
315	587	1271
316	588	1268
317	589	1265
318	591	1261
319	592	1258
320	593	1255
321	594	1251
322	595	1248
323	596	1245
324	598	1242
325	599	1238
326	600	1235
327	601	1232
328	602	1229
329	603	1226
330	605	1223
331	606	1219
332	607	1216
333	608	1213
334	609	1210
335	611	1207
336	612	1204
337	613	1201
338	614	1198
339	615	1195
340	617	1192
341	618	1189
342	619	1186
343	620	1183
344	621	1180
345	623	1177
346	624	1174
347	625	1172
348	626	1169
349	628	1167
350	629	1164
351	630	1161
352	632	1158
353	633	1155
354	634	1153
355	635	1150
356	636	1147
357	638	1144
358	639	1141
359	640	1138
360	641	1136
361	642	1133
362	644	1130
363	645	1127
364	646	1124
365	647	1121
366	648	1119
367	650	1116
368	651	1113
369	652	1110
370	653	1108
371	654	1105
372	656	1102
373	657	1100
374	658	1097
375	659	1094
376	660	1091
377	661	1089
378	663	1086
379	664	1083
380	665	1081
381	666	1078
382	667	1075
383	669	1073
384	670	1070
385	671	1067
386	672	1065
387	673	1062
388	674	1060
389	676	1057
390	677	1055
391	678	1053
392	680	1050
393	681	1047
394	682	1045
395	683	1042
396	684	1040
397	686	1037
398	687	1035
399	688	1032
400	689	1029
401	690	1027
402	692	1026
403	694	1023
404	695	1021
405	696	1018
406	697	1016
407	698	1013
408	699	1011
409	701	1008
410	702	1006
411	703	1003
412	704	1001
413	705	999
414	707	996
415	708	994
416	709	991
417	710	989
418	711	986
419	712	984
420	714	982
421	715	979
422	716	977
423	717	974
424	718	972
425	720	970
426	721	967
427	722	965
428	723	963
429	724	960
430	725	958
431	727	955
432	728	953
433	729	951
434	730	948
435	731	946
436	733	944
437	734	942
438	735	939
439	736	937
440	737	935
441	739	932
442	740	930
443	741	928
444	742	926
445	743	923
446	744	921
447	746	919
448	747	917
449	748	915
450	749	912
451	751	910
452	752	908
453	753	906
454	754	904
455	755	901
456	757	899
457	758	897
458	759	895
459	760	892
460	761	890
461	762	888
462	764	886
463	765	884
464	766	881
465	767	879
466	768	877
467	770	875
468	771	873
469	772	871
470	773	868
471	774	866
472	775	864
473	777	862
474	778	860
475	779	858
476	780	856
477	782	854
478	783	852
479	784	850
480	785	847
481	787	845
482	788	843
483	789	841
484	790	839
485	791	837
486	793	835
487	794	833
488	795	831
489	796	829
490	797	826
491	799	825
492	800	822
493	801	820
494	802	818
495	803	816
496	804	814
497	806	812
498	807	810
499	808	808
500	809	806
501	810	804
502	812	802
503	813	800
504	815	799
505	816	797
506	818	795
507	819	793
508	820	791
509	821	789
510	822	787
511	823	785
512	825	783
513	826	781
514	827	779
515	828	777
516	829	775
517	831	773
518	832	771
519	833	769
520	834	767
521	835	765
522	836	763
523	838	761
524	839	759
525	840	757
526	841	755
527	842	753
528	844	751
529	845	749
530	846	747
531	847	745
532	848	743
533	849	741
534	851	739
535	852	737
536	853	735
537	854	733
538	855	731
539	856	730
540	858	728
541	859	726
542	860	724
543	861	722
544	862	720
545	863	718
546	865	716
547	866	714
548	867	712
549	868	710
550	869	708
551	871	706
552	872	705
553	873	703
554	874	701
555	875	699
556	876	697
557	878	695
558	879	693
559	880	691
560	881	689
561	882	688
562	884	686
563	885	684
564	886	682
565	887	680
566	888	678
567	890	676
568	891	675
569	892	673
570	893	671
571	894	669
572	896	667
573	897	665
574	898	664
575	899	662
576	900	660
577	902	658
578	903	656
579	904	654
580	905	653
581	906	651
582	907	649
583	909	647
584	910	645
585	911	644
586	912	642
587	914	640
588	915	638
589	916	636
590	917	635
591	918	633
592	919	631
593	921	629
594	922	627
595	923	626
596	924	624
597	925	622
598	927	620
599	928	618
600	929	617
601	930	615
602	931	613
603	932	611
604	934	609
605	935	608
606	936	606
607	937	604
608	938	602
609	940	601
610	942	599
611	943	598
612	944	596
613	945	594
614	946	592
615	948	591
616	949	589
617	950	587
618	951	585
619	952	584
620	954	582
621	955	580
622	956	578
623	957	577
624	958	575
625	959	573
626	960	571
627	962	569
628	963	568
629	964	566
630	965	564
631	966	562
632	967	561
633	969	559
634	970	557
635	971	555
636	972	554
637	973	552
638	974	550
639	976	549
640	977	547
641	978	545
642	979	543
643	980	542
644	981	540
645	983	538
646	984	537
647	985	535
648	986	533
649	987	531
650	989	530
651	990	528
652	991	526
653	992	525
654	993	523
655	994	521
656	996	520
657	997	518
658	998	516
659	999	515
660	1001	513
661	1002	511
662	1003	510
663	1004	508
664	1005	506
665	1007	505
666	1008	503
667	1009	501
668	1010	500
669	1011	498
670	1013	496
671	1014	495
672	1015	493
673	1016	491
674	1018	490
675	1019	488
676	1020	486
677	1021	485
678	1022	483
679	1024	481
680	1025	480
681	1026	478
682	1027	476
683	1028	475
684	1029	473
685	1031	472
686	1032	470
687	1033	468
688	1034	467
689	1036	465
690	1037	463
691	1038	462
692	1039	460
693	1040	458
694	1042	457
695	1043	455
696	1044	454
697	1046	452
698	1047	450
699	1048	449
700	1049	447
701	1050	446
702	1052	444
703	1053	442
704	1054	441
705	1055	439
706	1056	437
707	1058	436
708	1059	434
709	1061	433
710	1062	431
711	1063	430
712	1064	428
713	1065	426
714	1066	425
715	1068	423
716	1069	422
717	1070	420
718	1071	418
719	1073	417
720	1074	415
721	1075	414
722	1076	412
723	1078	410
724	1079	409
725	1080	407
726	1081	406
727	1082	404
728	1084	403
729	1085	401
730	1086	399
731	1087	398
732	1088	396
733	1090	395
734	1091	393
735	1092	391
736	1093	390
737	1094	388
738	1096	387
739	1097	385
740	1098	384
741	1100	382
742	1101	380
743	1102	379
744	1103	377
745	1104	376
746	1105	374
747	1107	372
