iter	Passed	Remaining
0	179	179692
1	181	90331
2	182	60510
3	183	45590
4	184	36699
5	186	30970
6	188	26670
7	189	23443
8	190	20927
9	191	18911
10	192	17273
11	193	15900
12	194	14737
13	195	13741
14	196	12879
15	197	12122
16	199	11539
17	201	10972
18	202	10435
19	203	9952
20	204	9515
21	205	9119
22	206	8757
23	207	8424
24	208	8116
25	209	7834
26	210	7571
27	211	7327
28	212	7107
29	215	6952
30	216	6753
31	217	6566
32	218	6389
33	219	6227
34	220	6069
35	221	5921
36	222	5781
37	223	5650
38	224	5523
39	225	5402
40	226	5288
41	228	5216
42	229	5112
43	230	5012
44	231	4916
45	232	4827
46	233	4739
47	234	4655
48	235	4574
49	236	4498
50	237	4424
51	238	4352
52	239	4283
53	240	4220
54	243	4184
55	244	4123
56	245	4064
57	246	4006
58	247	3950
59	248	3895
60	249	3842
61	250	3792
62	251	3742
63	252	3694
64	253	3647
65	254	3601
66	256	3572
67	258	3537
68	259	3500
69	260	3459
70	261	3420
71	262	3381
72	263	3345
73	264	3315
74	266	3280
75	266	3246
76	267	3211
77	268	3178
78	269	3146
79	272	3134
80	273	3103
81	274	3073
82	275	3039
83	276	3010
84	277	2982
85	278	2957
86	279	2933
87	281	2912
88	282	2886
89	283	2861
90	283	2836
91	286	2826
92	287	2806
93	288	2783
94	289	2760
95	290	2737
96	291	2716
97	292	2694
98	293	2673
99	294	2652
100	295	2631
101	296	2611
102	297	2591
103	298	2571
104	300	2561
105	302	2547
106	303	2529
107	304	2511
108	305	2493
109	306	2476
110	307	2459
111	308	2442
112	309	2425
113	310	2409
114	310	2393
115	311	2377
116	312	2360
117	313	2345
118	316	2340
119	317	2325
120	318	2310
121	318	2295
122	319	2281
123	321	2267
124	321	2253
125	323	2240
126	323	2226
127	324	2212
128	325	2199
129	326	2187
130	327	2174
131	329	2163
132	330	2155
133	331	2143
134	332	2131
135	333	2119
136	334	2108
137	335	2097
138	336	2086
139	337	2075
140	338	2064
141	339	2051
142	340	2040
143	341	2029
144	342	2019
145	344	2016
146	345	2007
147	346	1997
148	347	1987
149	349	1977
150	350	1968
151	351	1959
152	352	1953
153	353	1944
154	354	1934
155	356	1926
156	357	1917
157	359	1917
158	360	1909
159	361	1900
160	362	1889
161	363	1881
162	364	1872
163	365	1864
164	366	1855
165	367	1847
166	368	1838
167	369	1830
168	370	1821
169	371	1813
170	373	1811
171	375	1806
172	376	1798
173	377	1791
174	378	1783
175	379	1776
176	380	1768
177	381	1761
178	382	1753
179	383	1746
180	384	1739
181	385	1732
182	386	1725
183	389	1726
184	390	1719
185	391	1713
186	392	1706
187	393	1700
188	394	1694
189	395	1687
190	396	1680
191	397	1674
192	398	1667
193	399	1661
194	400	1654
195	401	1648
196	404	1647
197	405	1642
198	406	1637
199	407	1631
200	409	1628
201	410	1622
202	411	1616
203	412	1610
204	413	1604
205	414	1598
206	415	1592
207	417	1588
208	419	1586
209	420	1580
210	421	1574
211	422	1569
212	423	1563
213	424	1557
214	425	1552
215	426	1546
216	427	1541
217	428	1536
218	429	1531
219	430	1525
220	433	1529
221	434	1523
222	435	1518
223	436	1513
224	437	1507
225	438	1502
226	439	1497
227	440	1492
228	441	1486
229	442	1481
230	443	1476
231	444	1471
232	445	1467
233	448	1466
234	449	1462
235	450	1457
236	451	1453
237	452	1448
238	453	1443
239	454	1439
240	456	1436
241	457	1432
242	458	1427
243	459	1423
244	460	1419
245	463	1420
246	464	1415
247	465	1410
248	466	1406
249	467	1401
250	468	1397
251	469	1393
252	470	1388
253	471	1384
254	472	1379
255	473	1375
256	474	1371
257	475	1368
258	477	1367
259	478	1363
260	480	1359
261	481	1355
262	482	1352
263	483	1348
264	484	1343
265	485	1339
266	486	1335
267	487	1332
268	491	1334
269	492	1332
270	493	1328
271	494	1324
272	496	1322
273	497	1319
274	498	1315
275	500	1311
276	501	1308
277	502	1304
278	503	1300
279	505	1300
280	507	1298
281	508	1295
282	509	1291
283	511	1288
284	512	1284
285	513	1281
286	514	1277
287	515	1274
288	516	1271
289	517	1267
290	519	1265
291	521	1264
292	522	1261
293	523	1257
294	524	1254
295	526	1251
296	528	1251
297	530	1248
298	531	1246
299	532	1243
300	534	1240
301	536	1239
302	537	1236
303	538	1233
304	540	1232
305	542	1231
306	544	1228
307	545	1225
308	546	1222
309	547	1218
310	548	1215
311	550	1213
312	551	1209
313	552	1206
314	553	1203
315	554	1200
316	555	1197
317	556	1194
318	557	1190
319	558	1187
320	559	1184
321	562	1184
322	563	1181
323	564	1178
324	565	1174
325	566	1171
326	567	1168
327	568	1165
328	569	1161
329	570	1158
330	571	1155
331	572	1152
332	573	1148
333	574	1145
334	577	1145
335	578	1143
336	579	1139
337	580	1136
338	581	1133
339	582	1130
340	583	1127
341	584	1124
342	585	1121
343	586	1118
344	587	1115
345	588	1112
346	592	1114
347	593	1111
348	594	1108
349	595	1105
350	596	1102
351	597	1099
352	598	1097
353	599	1094
354	600	1091
355	601	1088
356	602	1085
357	603	1082
358	607	1084
359	608	1081
360	609	1078
361	610	1075
362	611	1073
363	612	1070
364	613	1067
365	614	1064
366	615	1061
367	616	1058
368	617	1056
369	618	1053
370	621	1054
371	622	1051
372	624	1049
373	625	1046
374	626	1043
375	627	1040
376	628	1038
377	629	1036
378	631	1034
379	632	1032
380	633	1029
381	636	1030
382	638	1028
383	639	1025
384	640	1022
385	641	1020
386	642	1017
387	643	1015
388	644	1012
389	645	1010
390	646	1007
391	648	1005
392	650	1005
393	652	1003
394	653	1000
395	654	998
396	655	995
397	656	992
398	657	990
399	658	987
400	659	985
401	660	982
402	661	979
403	662	977
404	663	974
